user_id;username;user_nid;tweet_id;tweet_url;content;img;colorPred;time;timestamp;imgURL;tags;likes;retweets;replies;is_replied;is_reply_to;color_med
Peugeot;Peugeot;100186027;1115287430343659525;https://t.co/P95d8Vg0sC;RT @Peugeot: @DaysMotorGroup And you haven't unwrapped the treat yet… New #Peugeot208 #MilanDesignWeek https://t.co/P95d8Vg0sC;D3pL95ZX4AA6ZIh.jpg;;2019-04-08 16:16:59;2019-04-08 16:16:59;http://pbs.twimg.com/media/D3pL95ZX4AA6ZIh?format=jpg&name=thumb;[{'indices': [74, 85], 'text': 'Peugeot208'}, {'indices': [86, 102], 'text': 'MilanDesignWeek'}];0;5;;;;(40, 45, 80)
Peugeot;Peugeot;100186027;1115287393949687810;https://t.co/P95d8Vg0sC;@DaysMotorGroup And you haven't unwrapped the treat yet… New #Peugeot208 #MilanDesignWeek https://t.co/P95d8Vg0sC;D3pL95ZX4AA6ZIh.jpg;;2019-04-08 16:16:50;2019-04-08 16:16:50;http://pbs.twimg.com/media/D3pL95ZX4AA6ZIh?format=jpg&name=thumb;[{'indices': [61, 72], 'text': 'Peugeot208'}, {'indices': [73, 89], 'text': 'MilanDesignWeek'}];30;5;;;;(40, 45, 80)
Peugeot;Peugeot;100186027;1115286025591558144;https://t.co/UoMIM9Q5j3;Definitely the best catwalk you will see this week. #MilanDesignWeek #UnboringTheFuture https://t.co/UoMIM9Q5j3;D3pKubYWAAIhTBU.jpg;;2019-04-08 16:11:24;2019-04-08 16:11:24;http://pbs.twimg.com/media/D3pKubYWAAIhTBU?format=jpg&name=thumb;[{'indices': [52, 68], 'text': 'MilanDesignWeek'}, {'indices': [69, 87], 'text': 'UnboringTheFuture'}];125;19;;;;(33, 47, 117)
Peugeot;Peugeot;100186027;1114830177035534336;https://t.co/zOo3DrAw0u;The #MilanDesignWeek starts tomorrow! The ideal place to see the new #Peugeot208 if you missed it in Geneva. https://t.co/zOo3DrAw0u;D3isI0DXsAEcnxj.jpg;;2019-04-07 10:00:01;2019-04-07 10:00:01;http://pbs.twimg.com/media/D3isI0DXsAEcnxj?format=jpg&name=thumb;[{'indices': [4, 20], 'text': 'MilanDesignWeek'}, {'indices': [69, 80], 'text': 'Peugeot208'}];150;26;;;;(194, 184, 158)
Peugeot;Peugeot;100186027;1114195998769917952;https://t.co/nFTIevMc5R;There is always a classy cockpit in a Peugeot. #Peugeot504 https://t.co/nFTIevMc5R;D3ZrWzgW0AEhqRr.jpg;;2019-04-05 16:00:01;2019-04-05 16:00:01;http://pbs.twimg.com/media/D3ZrWzgW0AEhqRr?format=jpg&name=thumb;[{'indices': [47, 58], 'text': 'Peugeot504'}];132;11;;;;(51, 49, 51)
Peugeot;Peugeot;100186027;1113086185239441412;https://t.co/kW39YmZxmm;Race your destiny. New #Peugeot508Concept #UnboringTheFuture https://t.co/kW39YmZxmm;D3J5_J0WkAAwd_d.jpg;;2019-04-02 14:30:01;2019-04-02 14:30:01;http://pbs.twimg.com/media/D3J5_J0WkAAwd_d?format=jpg&name=thumb;[{'indices': [23, 41], 'text': 'Peugeot508Concept'}, {'indices': [42, 60], 'text': 'UnboringTheFuture'}];175;26;;;;(120, 116, 116)
Peugeot;Peugeot;100186027;1110883419469295618;https://t.co/I1yVjUvH9g;Time to break free. #SUVPeugeot3008 https://t.co/I1yVjUvH9g;D2qmlU5XcAEPAH1.jpg;;2019-03-27 12:37:01;2019-03-27 12:37:01;http://pbs.twimg.com/media/D2qmlU5XcAEPAH1?format=jpg&name=thumb;[{'indices': [20, 35], 'text': 'SUVPeugeot3008'}];128;16;;;;(84, 86, 87)
Peugeot;Peugeot;100186027;1110158141096951808;https://t.co/9Lc15XeGYP;"It has always been about the curves #Peugeot402. 
📷 Darin Schnabel https://t.co/jIgpQPvgwi https://t.co/9Lc15XeGYP";D2gS8knW0AI5Q8C.jpg;;2019-03-25 12:35:01;2019-03-25 12:35:01;http://pbs.twimg.com/media/D2gS8knW0AI5Q8C?format=jpg&name=thumb;[{'indices': [36, 47], 'text': 'Peugeot402'}];116;24;;;;(180, 170, 149)
Peugeot;Peugeot;100186027;1108654550708338690;https://t.co/ZabxW6C8Gu;The #Peugeot308 in a stunning performance without a single wrong note. https://t.co/ZabxW6C8Gu;WpGYxWdWMqSIUwnW.jpg;;2019-03-21 09:00:17;2019-03-21 09:00:17;http://pbs.twimg.com/amplify_video_thumb/1108654488875880448/img/WpGYxWdWMqSIUwnW.jpg;[{'indices': [4, 15], 'text': 'Peugeot308'}];246;50;;;;(97, 92, 86)
Peugeot;Peugeot;100186027;1108394848917303298;https://t.co/jV3BNHYVzx;Welcome to Miami! Have a great @MiamiOpen our tennis ambassadors! @la_pouille @FerVerdasco #MiamiOpen https://t.co/jV3BNHYVzx;D2HPPQFXgAEKTx-.jpg;;2019-03-20 15:48:19;2019-03-20 15:48:19;http://pbs.twimg.com/media/D2HPPQFXgAEKTx-?format=jpg&name=thumb;[{'indices': [91, 101], 'text': 'MiamiOpen'}];85;18;;;;(153, 148, 140)
Peugeot;Peugeot;100186027;1107914610513006592;https://t.co/NKybjqhanI;Look around you. You are really driving the New #PeugeotE208. #UnboringTheFuture https://t.co/NKybjqhanI;D2Aad3GX4AILrQs.jpg;;2019-03-19 08:00:01;2019-03-19 08:00:01;http://pbs.twimg.com/media/D2Aad3GX4AILrQs?format=jpg&name=thumb;[{'indices': [48, 60], 'text': 'PeugeotE208'}, {'indices': [62, 80], 'text': 'UnboringTheFuture'}];165;27;;;;(104, 102, 112)
Peugeot;Peugeot;100186027;1106918051830743040;https://t.co/YDXWVPOzax;Be ahead of your time and appreciate the design of our new generation models! #GIMSSWISS #UnboringTheFuture https://t.co/YDXWVPOzax;D1yQGCdXgAACURp.jpg;;2019-03-16 14:00:03;2019-03-16 14:00:03;http://pbs.twimg.com/media/D1yQGCdXgAACURp?format=jpg&name=thumb;[{'indices': [78, 88], 'text': 'GIMSSWISS'}, {'indices': [89, 107], 'text': 'UnboringTheFuture'}];146;20;;;;(74, 72, 70)
